suurus_m2;hind_m2_eur;muugi_hind_eur
18;3623,2;63417
18;3514,39;63975
18;3483,49;62621
18;3297,63;51012
18;3627;73418
18;3557,34;64881
18;3320,01;56009
18;3262,4;59326
18;3416,66;63651
18;3192,43;56336
18;3444,9;60981
20;3789,96;79727
18;3443,47;61686
18;3505,42;69224
26;2964,86;77930
18;3726,43;76789
19;3463,97;68894
18;3340,2;61787
18;3375,78;64951
18;3182,62;54049
18;3335,55;55101
18;3289,86;56042
19;3279,67;62677
18;2957,45;55677
19;3256,41;64656
18;3168,76;57952
36;3322,64;122498
18;3701,57;66070
19;3325,34;66915
19;3577,36;61034
18;3366,87;56691
20;3648,83;72443
18;3897,07;74721
18;3499,43;64247
18;3156,46;59934
18;3462,68;57270
24;3242,82;70783
18;3541,77;53506
18;3374,31;65807
19;3463,69;67725
19;3020,41;51556
18;3712,51;71172
18;3108,15;52988
18;3329,68;54666
18;3526,37;67246
18;3554,78;64068
29;3415,33;100258
18;3585,11;64236
23;3108,82;75237
18;3224,31;59722
21;3119,29;71214
18;3494,14;61114
18;3547;64110
18;3429,88;61157
18;3534,6;59626
21;3274,13;65693
22;3501,73;81572
18;3414,03;65808
18;3518,29;58426
18;3536,96;61595
22;3523,73;79714
18;3320,1;58752
18;3422,84;63977
19;3377,8;71188
18;3892,5;68175
18;3430,43;61547
33;3287,27;106955
20;3430,28;66748
18;3643,85;72303
18;3292,16;65439
18;3461,32;60711
21;3583,79;71273
18;3200,6;57251
30;3523,53;107764
18;3567,75;66108
18;3601,15;59877
18;3420,53;63438
21;3327,15;71285
22;3462,28;71412
19;3474;63418
20;3550,86;67297
18;3358,7;60179
20;3175,49;60353
18;3278,88;55574
33;3103,11;94747
20;3213,54;63507
18;3518,4;54734
19;3471,77;64785
18;3446,01;67076
18;3498,17;62979
19;3644,98;64218
19;3258,23;64874
22;3442,81;79382
18;3458,41;63825
19;3473,84;65213
60;3471,28;209904
18;3444,01;54368
18;3796,92;69632
18;3775,96;66178
18;3517,13;60564
18;3253,34;61541
67;3246,57;231081
18;3538,56;63909
18;3302,6;63563
18;3206,64;57445
19;3505,33;62999
18;3223,1;65289
18;3244,45;52469
23;3488,4;76320
63;3072,84;192038
18;3648,91;60217
20;3771,45;79412
18;3347,94;65240
18;3614,13;57652
18;3477,88;60890
26;3407,54;90278
18;3015,92;48391
20;3465,03;63127
18;3175,77;54185
18;3531,04;73980
18;3335,16;62500
18;3386,57;63149
18;3337,51;66589
18;3669,5;56520
18;3507,53;65573
19;3298,81;63893
18;3274,26;51142
18;3500,35;59242
28;3323,6;89680
25;3256,25;82966
21;3170,29;66468
21;3516,97;78839
19;3685,54;72713
19;3406,49;59522
18;3564,66;64761
18;3301,03;55061
27;3269,6;86297
18;3534,34;58365
18;3463,5;64835
18;3805,75;68609
19;3401,31;65261
18;3823,14;75352
18;3411,56;65978
20;2961,12;69631
18;3585,57;66545
19;3186,99;54733
19;3522,95;68406
18;3132,49;67629
25;3616,75;96413
36;3299,45;122507
18;3671,31;55217
18;3418,48;57667
18;3322,02;54679
26;3614,26;97077
18;3395,36;60557
18;3442,45;56009
18;3363,05;59584
18;3638,68;65587
18;3350,84;57321
19;3214,97;56625
21;3636,03;74429
21;2943,16;58162
18;3637,11;60563
20;3256,44;66078
18;3367,71;61054
30;3518,73;104076
20;3314,72;67350
19;3494,91;63359
18;3598,6;60826
18;3251,38;62582
19;3616,03;67476
20;3336,79;68786
18;3360,34;63909
20;3372,9;65854
18;3392,77;62319
35;3257,78;121579
20;3287,6;59782
18;3284,58;57182
18;3258,3;56168
18;3128,75;63981
25;3327,37;80426
18;2947,31;49985
18;3665,19;70582
19;3584,59;68037
20;3321,45;70741
21;3372,88;68291
21;3165,28;64157
19;3842,78;77038
18;3522,68;67445
19;3444,41;68319
21;3480,19;71513
18;3444,76;66654
18;3074,75;58770
19;3310,96;68545
44;3459,03;154343
18;3414,54;59860
18;3392,33;63000
18;3589,29;59471
18;3255,39;52584
18;3258,76;63040
18;3598,8;74224
18;3389,53;62573
21;3324,36;75156
21;3460,09;75812
18;3257,95;55238
145;2781,75;399363
21;3654,96;79071
18;3580,67;69185
18;2923,96;55367
19;3337,17;61076
18;3534,11;67177
18;3363,67;52937
18;3363,05;63111
